sales_type_id,vehicle_id,employee_id,customer_id,dealership_id,price,deposit,purchase_date,pickup_date,invoice_number,payment_method,sale_returned
2,1,394,913,43,19652.65,9696,12/15/06 14:42,1/9/07 14:42,364661577,jcb,
2,2,497,834,1,64573.6,1302,4/8/16 17:07,4/15/16 17:07,889543488,diners-club-enroute,
1,3,926,545,50,57143.23,14703,12/6/07 16:27,12/30/07 16:27,1991494718,jcb,
2,4,967,328,25,43762.64,3061,12/21/14 14:31,1/4/15 14:31,7678398298,bankcard,
2,5,612,456,28,99216.14,10398,2/8/18 4:07,2/11/18 4:07,9609564631,americanexpress,
1,6,576,375,28,46700.51,15999,11/6/13 18:56,11/28/13 18:56,163048053,switch,
1,7,155,2,27,93659.76,16958,3/30/18 15:48,4/24/18 15:48,9037525350,china-unionpay,
2,8,547,356,36,45037.75,4835,5/28/05 17:03,6/18/05 17:03,4335119836,solo,
1,9,798,387,35,87463.12,15381,5/4/06 1:35,5/14/06 1:35,3768540235,jcb,
1,10,979,245,44,52158.17,1137,1/22/17 17:29,1/30/17 17:29,8727525058,jcb,
1,11,542,1030,49,35441.44,2422,2/1/13 17:53,2/21/13 17:53,4974509020,jcb,
2,12,857,298,44,68751.87,14127,9/13/09 2:51,10/9/09 2:51,1218068329,mastercard,
1,13,850,139,7,58771.55,7028,5/27/13 13:20,5/30/13 13:20,107222906,maestro,
2,14,184,366,30,23725.31,15667,4/4/17 6:15,4/29/17 6:15,2770212559,mastercard,
1,15,966,916,45,74764.72,3633,4/17/08 2:58,4/23/08 2:58,6447226474,diners-club-carte-blanche,
2,16,277,757,30,27908.78,15715,11/28/19 4:09,12/23/19 4:09,1337549819,maestro,
2,17,214,736,42,36189.08,15650,9/9/05 15:13,10/9/05 15:13,8498946654,jcb,
1,18,566,729,50,40674.86,4029,7/15/12 14:23,7/27/12 14:23,84631333,visa,
1,19,302,183,50,89911.4,4688,12/8/10 15:35,12/15/10 15:35,5328526341,diners-club-enroute,
2,20,596,1069,30,53384.49,5087,5/5/10 6:40,5/23/10 6:40,2449897089,jcb,
2,21,764,431,13,22195.62,7442,1/8/08 14:08,1/26/08 14:08,1057181358,switch,
1,22,986,986,18,25862.74,3992,12/20/07 22:47,1/16/08 22:47,8847269180,bankcard,
1,23,97,341,5,44877.9,5238,6/4/05 21:38,6/9/05 21:38,725406798,americanexpress,
1,24,409,664,43,35750.16,15976,11/21/17 19:12,12/15/17 19:12,2751032222,switch,
1,25,602,19,5,80807.27,11573,7/17/17 19:43,7/27/17 19:43,2033088901,switch,
1,26,572,347,45,90343.67,2813,4/28/17 11:35,4/29/17 11:35,5460539153,americanexpress,
2,27,837,832,34,43811.1,17687,10/3/10 16:02,10/16/10 16:02,5589413508,visa,
2,28,672,269,1,82176.67,6717,8/4/07 5:06,8/30/07 5:06,2848962666,jcb,
2,29,211,954,13,27630.97,751,5/18/06 22:38,5/26/06 22:38,5665060917,jcb,
2,30,609,1093,5,21981.92,6787,1/3/13 16:37,1/30/13 16:37,3625459485,mastercard,
1,31,62,870,37,84425.82,15800,5/8/12 8:16,5/23/12 8:16,8719869150,mastercard,
1,32,592,600,33,80652.64,2934,11/24/19 9:01,12/4/19 9:01,2246458676,bankcard,
2,33,678,1003,31,20160.25,9459,4/22/16 17:30,5/16/16 17:30,607989653,americanexpress,
2,34,501,145,49,71013.86,13013,7/19/06 23:50,8/15/06 23:50,5540906276,jcb,
1,35,679,299,7,42542.92,6993,3/4/18 20:50,3/5/18 20:50,4561055886,switch,
1,36,379,628,14,86009.25,1836,10/9/05 20:41,10/22/05 20:41,8796343044,diners-club-carte-blanche,
2,37,736,1045,15,68508.26,14914,2/5/20 13:29,2/14/20 13:29,3491910803,diners-club-international,
2,38,504,495,41,47566.97,16680,7/20/14 7:50,8/3/14 7:50,6724170621,bankcard,
2,39,405,606,18,77950.35,1592,4/13/07 0:33,4/15/07 0:33,6875172178,jcb,
1,40,42,108,32,41242.12,504,3/30/19 0:11,4/13/19 0:11,6419691028,jcb,
1,41,317,631,48,80244.5,13860,7/29/12 23:33,8/17/12 23:33,7011057900,visa,
2,42,165,122,10,38018.56,2357,10/22/19 15:20,11/5/19 15:20,4763410881,maestro,
1,43,130,927,8,81344.51,15142,1/24/12 4:48,2/8/12 4:48,2826706012,diners-club-enroute,
1,44,120,629,29,80944.22,7642,5/11/16 9:47,6/2/16 9:47,1600211402,visa-electron,
2,45,643,83,49,18579.54,17153,2/1/15 11:18,2/13/15 11:18,7758966985,jcb,
2,46,979,119,29,73436.3,10394,8/12/10 9:44,8/23/10 9:44,9351931706,mastercard,
1,47,939,237,20,83437.9,16749,12/5/13 14:54,1/3/14 14:54,9910555581,jcb,
2,48,440,1078,23,58729.32,9348,10/15/15 3:35,10/25/15 3:35,2685516492,americanexpress,
2,49,214,416,2,77670.64,10966,1/2/18 8:51,1/27/18 8:51,6387875889,jcb,
2,50,23,423,8,74755.7,14959,4/1/14 15:42,4/24/14 15:42,6160267329,bankcard,
2,51,551,457,10,61693.03,6600,10/4/12 13:26,10/20/12 13:26,8627359180,jcb,
1,52,201,129,20,58510.13,4031,11/29/10 20:17,12/22/10 20:17,3001924942,visa-electron,
1,53,161,347,22,73361.72,946,2/1/08 3:26,2/11/08 3:26,5782557877,diners-club-us-ca,
2,54,240,987,4,70420.22,8026,1/15/07 11:33,1/29/07 11:33,6961215661,jcb,
2,55,761,1060,46,67073.46,1716,8/30/08 2:24,9/23/08 2:24,2646941455,mastercard,
1,56,967,52,38,23945.19,1478,11/5/17 16:22,11/21/17 16:22,8362684771,mastercard,
2,57,729,436,20,44014.52,4578,6/17/18 18:16,7/2/18 18:16,3449916017,jcb,
2,58,136,191,29,37098.17,1658,8/21/13 12:59,9/3/13 12:59,4425242246,jcb,
1,59,681,271,29,26971.96,14731,2/5/08 23:58,2/20/08 23:58,3035334102,switch,TRUE
2,60,356,169,11,29418.99,16380,2/17/06 6:09,2/18/06 6:09,8812322719,mastercard,
2,61,983,734,10,69639.77,13301,8/23/15 3:26,9/11/15 3:26,3061892044,jcb,
2,62,561,915,32,46452.44,9030,2/11/09 1:31,2/23/09 1:31,7294191379,jcb,
1,63,755,919,45,54366.07,6459,5/6/16 6:17,5/16/16 6:17,3176655746,jcb,
2,64,946,278,19,42372.75,11736,9/24/15 0:23,10/1/15 0:23,3255848342,jcb,
2,65,365,359,23,26257.94,13083,6/21/17 20:31,7/12/17 20:31,3731689170,maestro,
1,66,452,1046,28,43937.64,1091,6/1/07 9:32,6/29/07 9:32,8311619980,jcb,
2,67,276,418,37,48280.09,17269,10/7/05 20:43,10/11/05 20:43,5393943814,diners-club-enroute,
2,68,304,648,39,87223.52,10455,3/10/20 16:47,3/27/20 16:47,5442681407,jcb,
2,69,333,293,44,58033.46,992,4/30/11 8:14,5/4/11 8:14,5670368231,bankcard,
2,70,491,947,7,65129.98,15449,2/10/10 4:27,2/16/10 4:27,2639480286,maestro,
1,71,592,447,8,24082.49,4542,4/29/09 12:34,5/6/09 12:34,1618479032,visa-electron,
1,72,608,537,6,77055.98,14595,7/13/07 13:34,7/26/07 13:34,3142929797,jcb,
2,73,525,248,16,29542.56,16399,9/24/06 16:44,10/9/06 16:44,6282113091,mastercard,
1,74,785,297,32,35804.51,8630,9/17/05 7:06,10/11/05 7:06,1551137089,americanexpress,
1,75,928,680,23,84018.28,12829,1/31/19 9:26,2/12/19 9:26,124572227,jcb,
1,76,331,135,40,78559.84,4383,10/3/17 4:12,10/14/17 4:12,5831596346,solo,
1,77,575,934,27,59095.01,12785,10/1/19 10:41,10/27/19 10:41,2771398524,jcb,
1,78,684,739,40,40101.03,11894,1/13/06 1:56,2/11/06 1:56,9478892657,jcb,
1,79,890,402,20,31227.16,5176,10/22/14 10:47,10/31/14 10:47,3832573194,jcb,
1,80,971,394,38,72943.93,17927,12/9/05 17:44,12/26/05 17:44,2798098459,jcb,
1,81,921,926,22,97381.83,16439,4/7/10 5:03,4/28/10 5:03,782401554,jcb,
2,82,49,222,39,50981.05,6297,9/13/14 13:02,10/8/14 13:02,6199449096,switch,
1,83,589,909,1,33720.73,2355,2/11/18 22:49,2/25/18 22:49,2636182756,mastercard,
2,84,973,199,40,40180.77,12735,10/5/18 7:55,10/23/18 7:55,3333808048,jcb,
1,85,5,271,34,80890.92,9990,3/6/19 15:51,3/7/19 15:51,2518963308,mastercard,
1,86,704,731,50,56546.35,7111,1/16/14 21:10,1/30/14 21:10,7943128206,visa-electron,
1,87,431,651,30,42052.41,8180,6/6/19 20:35,6/17/19 20:35,2880900506,americanexpress,TRUE
2,88,8,330,12,70689.75,9265,11/4/19 10:04,11/7/19 10:04,3532123304,jcb,
1,89,548,478,24,43368.17,5889,7/29/15 16:46,8/11/15 16:46,9339898915,jcb,
2,90,757,1081,29,45912.83,7110,3/14/13 18:39,3/16/13 18:39,5203033331,maestro,
1,91,156,51,5,83266.45,5008,11/4/14 6:02,11/18/14 6:02,1652400532,jcb,
2,92,896,4,12,40419.53,9359,9/15/12 5:46,10/9/12 5:46,5020972282,bankcard,
2,93,459,50,26,25311.56,9837,6/8/12 18:39,7/6/12 18:39,3142873953,laser,
1,94,670,1068,3,73378.51,15012,1/11/17 21:45,1/22/17 21:45,1601924003,diners-club-enroute,
2,95,986,499,37,62043.16,10829,10/11/10 0:33,11/3/10 0:33,7415898621,jcb,
1,96,667,1098,30,27911.8,8063,9/1/19 8:29,9/4/19 8:29,7563846867,diners-club-us-ca,
1,97,888,748,23,54372.24,6981,6/26/07 14:22,7/14/07 14:22,229401791,jcb,
1,98,358,370,7,73305.76,6570,9/29/15 4:37,10/5/15 4:37,5256061984,mastercard,
1,99,24,103,13,73783.04,8609,11/28/09 8:52,12/7/09 8:52,6023233317,mastercard,
2,100,550,867,22,26935.43,9924,9/6/07 12:51,9/8/07 12:51,9905385207,jcb,
1,101,836,738,47,50461.91,13242,7/6/20 10:09,7/16/20 10:09,8512960957,mastercard,
2,102,643,866,49,98314.35,5285,3/8/08 12:20,3/26/08 12:20,9086618200,instapayment,
2,103,707,879,47,63465.35,597,5/1/06 6:27,5/17/06 6:27,4863343736,switch,
1,104,298,949,15,49279.74,17144,3/24/06 18:59,3/25/06 18:59,5400730930,instapayment,
2,105,316,46,33,81144.66,843,7/13/05 9:39,8/8/05 9:39,3798789851,china-unionpay,
2,106,506,96,17,22102.77,12600,7/16/07 0:29,7/29/07 0:29,2679265238,diners-club-international,
1,107,379,1042,43,94902.2,3673,3/23/09 8:33,3/27/09 8:33,9282643328,switch,
1,108,166,647,22,55457.99,8337,10/10/05 10:14,10/28/05 10:14,6352268730,jcb,
2,109,496,247,40,22087.59,13878,3/19/08 0:23,3/20/08 0:23,9348042106,jcb,
2,110,198,1037,28,98316.75,14431,1/7/14 5:45,1/30/14 5:45,4388491217,jcb,
