vin,engine_type,vehicle_type_id,exterior_color,interior_color,floor_price,msr_price,miles_count,year_of_car,is_sold,is_new,dealership_location_id
1N6AD0CU6FN889175,V6,4,Aquamarine,Blue,33564,15464,108,2020,FALSE,TRUE,46
JM1NC2JF1F0973909,V4,2,Goldenrod,Turquoise,26036,17201,309,2017,TRUE,TRUE,22
1N6AF0LY0FN319332,V6,6,Yellow,Aquamarine,31623,18225,182,2019,TRUE,TRUE,50
2HNYD18245H890440,V4,1,Green,Purple,28418,16642,391,2020,FALSE,TRUE,31
JN1CV6EK2AM293960,V6,23,Blue,Crimson,25459,15413,157,2018,TRUE,TRUE,22
JH4KB16577C948673,V4,3,Fuscia,Maroon,32182,15606,63,2019,TRUE,TRUE,44
2LMHJ5AT6FB093426,V6,12,Turquoise,Goldenrod,30635,18814,139,2018,TRUE,TRUE,13
TRUUT28N461115505,V4,19,Goldenrod,Aquamarine,31636,18367,280,2019,TRUE,TRUE,30
WBAWV13558P911322,V8,22,Indigo,Purple,31902,15528,345,2020,TRUE,TRUE,16
1C3CDFDHXFD354697,V6,6,Blue,Yellow,25723,18358,70,2019,TRUE,TRUE,16
3D7JV1EP4AG585671,V4,16,Mauv,Mauv,28787,18287,206,2020,FALSE,TRUE,45
1G4GE5G39EF186019,V4,8,Yellow,Mauv,25889,16184,62,2018,FALSE,TRUE,24
1FTWF3C55AE707081,V6,23,Yellow,Teal,26676,17664,282,2019,TRUE,TRUE,16
JTDJTUD3XED879336,V4,13,Pink,Violet,34999,18013,157,2019,FALSE,TRUE,32
1N6AF0KY9EN942335,V6,9,Teal,Teal,25494,17976,105,2017,TRUE,TRUE,31
WAUSH78E88A346276,V6,25,Purple,Violet,32658,19865,152,2017,FALSE,TRUE,11
WAUJC68EX5A271659,V6,16,Mauv,Aquamarine,29535,16044,73,2017,TRUE,TRUE,24
WVGEF9BP8FD842696,V4,2,Teal,Teal,34079,18751,325,2017,FALSE,TRUE,46
WBAEV53483K579862,V4,6,Orange,Puce,26594,16053,123,2020,FALSE,TRUE,14
1GKS1FEJ5CR211130,V8,15,Blue,Green,33117,18642,137,2018,TRUE,TRUE,17
5UXFE43577L918989,V8,16,Mauv,Puce,33027,16569,120,2019,FALSE,TRUE,12
WBSDX9C56BE011575,V4,21,Maroon,Maroon,32523,19682,262,2020,FALSE,FALSE,1
3VW217AU8FM244269,V4,24,Violet,Blue,26090,17022,218,2020,TRUE,TRUE,13
1FTMF1EW4AF859820,V6,11,Puce,Mauv,31340,16084,25,2020,TRUE,TRUE,18
3GYFNGE3XCS796612,V8,13,Goldenrod,Mauv,28601,15757,279,2018,TRUE,TRUE,1
WBALW7C52DD950903,V6,24,Crimson,Fuscia,28669,19341,5,2017,FALSE,TRUE,12
JHMZE2H33CS188569,V8,24,Fuscia,Fuscia,32350,15995,167,2018,TRUE,TRUE,35
2G4GZ5GV5B9945971,V4,4,Red,Pink,30684,16860,101,2020,FALSE,TRUE,48
JN1CV6AP8AM797897,V8,7,Purple,Blue,29234,18553,192,2020,FALSE,TRUE,22
WA1AGAFE0CD412533,V8,4,Crimson,Aquamarine,25708,15674,388,2020,TRUE,FALSE,36
SCBFC7ZA7DC397252,V8,19,Maroon,Orange,34482,16060,271,2017,TRUE,TRUE,40
WAUKF78E98A222779,V8,2,Indigo,Maroon,27443,16468,243,2020,FALSE,TRUE,20
2G61V5S34D9238569,V8,7,Turquoise,Mauv,25915,15485,226,2020,FALSE,FALSE,14
WAULC68EX5A688868,V6,16,Fuscia,Fuscia,25654,17752,111,2018,FALSE,TRUE,1
3VW4T7AT8EM385237,V4,8,Mauv,Goldenrod,29498,19106,207,2020,FALSE,TRUE,35
5TDBKRFH6FS729596,V8,14,Khaki,Khaki,26794,19807,130,2019,TRUE,TRUE,41
19UUA75668A912126,V4,24,Green,Red,25172,15550,196,2018,TRUE,TRUE,13
JH4KC1F5XFC747426,V8,3,Aquamarine,Blue,28508,16951,82,2020,FALSE,TRUE,5
1G6DP8ED8B0309048,V8,25,Crimson,Turquoise,31029,17186,19,2017,FALSE,TRUE,12
1FADP3E22EL999709,V8,9,Blue,Yellow,33387,16565,236,2020,FALSE,TRUE,22
1GYS4BKJ7FR519852,V4,4,Indigo,Orange,29095,17475,373,2017,TRUE,TRUE,13
1LNHL9DR5CG537185,V6,22,Mauv,Puce,31802,17843,51,2019,FALSE,TRUE,5
1FTWW3DYXAE463940,V6,12,Orange,Orange,34699,15849,262,2019,FALSE,TRUE,5
YV1982BW3A1115856,V4,15,Fuscia,Crimson,28468,19795,156,2018,TRUE,FALSE,37
5TFBM5F10AX404709,V8,15,Puce,Aquamarine,26170,18568,328,2020,FALSE,TRUE,40
4A31K2DF1BE803539,V6,14,Crimson,Violet,34045,16835,277,2019,FALSE,FALSE,37
1GKS1CKJ9FR566387,V6,20,Purple,Turquoise,27750,17462,127,2018,FALSE,TRUE,1
WBSPM9C50BE112780,V6,17,Maroon,Violet,26390,19089,244,2019,TRUE,TRUE,8
1N6AD0CU6FN004506,V4,6,Red,Aquamarine,29154,18093,165,2018,TRUE,TRUE,27
2G4GV5GVXD9415025,V8,6,Aquamarine,Indigo,29837,18421,43,2018,TRUE,TRUE,21
1D7RV1CT2BS452937,V6,16,Mauv,Aquamarine,25992,17206,245,2018,TRUE,TRUE,50
WBAWR335X8P799388,V6,15,Goldenrod,Crimson,34552,15940,93,2017,TRUE,TRUE,31
WAU3FAFR7BA601360,V4,19,Puce,Mauv,32285,17168,338,2018,FALSE,TRUE,5
WAUML44E15N602340,V4,13,Khaki,Purple,27478,19779,196,2017,FALSE,TRUE,23
WAULC68E85A330216,V8,3,Purple,Fuscia,28886,18637,352,2018,TRUE,TRUE,4
WBA3X5C55FD036911,V8,5,Teal,Turquoise,29321,19855,169,2019,TRUE,FALSE,9
WAUCFAFC7EN438668,V4,16,Goldenrod,Turquoise,30929,17679,83,2019,FALSE,TRUE,5
JN8AE2KP3E9030810,V8,10,Yellow,Puce,29382,16661,365,2018,TRUE,FALSE,32
SCFBF04B67G616257,V6,24,Indigo,Teal,28559,17772,73,2020,FALSE,TRUE,33
55SWF4JB0FU093613,V4,20,Blue,Turquoise,28919,17784,169,2020,TRUE,TRUE,46
5TFBY5F17BX916733,V4,23,Fuscia,Crimson,32665,19259,26,2018,TRUE,TRUE,42
2HNYB1H20AH178457,V6,20,Mauv,Purple,27050,17476,371,2020,FALSE,TRUE,32
WAUJC68E35A402852,V8,22,Turquoise,Fuscia,28121,19635,29,2018,TRUE,TRUE,33
WBABV134X6J921317,V4,18,Pink,Goldenrod,29633,15622,311,2020,FALSE,TRUE,2
WAUNE78P18A713140,V6,10,Teal,Goldenrod,28313,18518,253,2019,TRUE,TRUE,13
2G4GS5ER4D9905877,V4,9,Goldenrod,Puce,31056,19569,138,2017,TRUE,TRUE,47
1N4AL2AP3AN280428,V6,23,Turquoise,Khaki,31243,18987,391,2017,FALSE,TRUE,28
5YMGY0C50D0231024,V4,1,Indigo,Violet,30913,18054,41,2018,FALSE,TRUE,20
19UUA8F2XDA883225,V6,7,Khaki,Khaki,32117,18620,157,2018,TRUE,TRUE,42
WDDUG7JB0EA333781,V6,15,Violet,Maroon,25788,19727,124,2020,TRUE,FALSE,8
3D4PH1FG2BT538659,V6,15,Puce,Purple,33547,17929,147,2017,TRUE,TRUE,17
1G6AT5S39E0988485,V6,3,Pink,Purple,30321,15194,16,2019,FALSE,TRUE,10
5GALRBEDXAJ943178,V4,23,Teal,Fuscia,30176,19653,101,2017,TRUE,TRUE,48
YV4902BZ3D1940532,V6,15,Pink,Goldenrod,33031,16664,62,2020,TRUE,TRUE,9
WBADX7C51DE265934,V8,14,Fuscia,Aquamarine,26608,18599,70,2020,FALSE,TRUE,26
1FTWX3B56AE593588,V6,18,Khaki,Turquoise,31915,15517,319,2017,FALSE,TRUE,22
19UUA8F76CA348175,V6,5,Aquamarine,Khaki,26930,17469,186,2018,FALSE,TRUE,10
WAUAH94F18N338440,V6,6,Turquoise,Orange,34255,15912,205,2020,TRUE,TRUE,18
SCBZB25E42C544510,V6,16,Puce,Crimson,32198,16691,345,2017,TRUE,TRUE,26
1D7RE5GK9BS074074,V8,2,Yellow,Turquoise,27511,17975,287,2020,TRUE,TRUE,33
W04GP5EC7B1595818,V8,1,Red,Purple,32916,15595,335,2019,TRUE,TRUE,40
